po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,line_item_insurance_(usd),days_to_process
0,0,9,0,0,0,60,864,1296.0,1.5,0.02,0,3688.33,1,2.79,83
0,0,9,0,0,0,30,54392,207233.52,3.81,0.13,0,16898.58,0,290.54,235
0,0,9,0,0,0,240,2938,5640.96,1.92,0.01,1,3426.68,1,9.03,-640
0,0,1,0,0,0,240,480,6000.0,12.5,0.05,0,2322.47,1,7.42,164
0,0,26,0,0,0,30,87744,370279.68,4.22,0.14,0,12601.07,0,610.96,155
0,0,31,1,0,0,30,73,1319.03,18.07,0.6,1,0.0,0,1.36,97
0,0,28,1,0,0,30,672,2520.0,3.75,0.12,0,1276.53,1,3.53,119
0,0,37,0,0,0,60,6384,22982.4,3.6,0.06,0,1587.3,0,23.63,286
0,0,8,0,0,0,60,16,41.28,2.58,0.04,0,456.18,1,0.06,85
0,0,10,0,0,0,60,439,1022.87,2.33,0.04,1,3426.68,1,1.69,44
0,0,39,0,0,0,30,66667,828004.14,12.42,0.41,0,18856.33,1,1324.81,-475
0,0,8,0,0,0,30,42,462.0,11.0,0.37,1,3426.68,1,0.57,261
0,0,15,0,0,0,240,375,693.75,1.85,0.01,1,3426.68,1,1.14,42
0,0,11,1,0,0,20,8964,242028.0,27.0,1.35,0,15619.2,1,474.37,-189
0,0,26,0,0,0,60,7436,100386.0,13.5,0.22,0,5180.0,1,160.62,-570
0,0,9,0,0,0,30,14996,46787.52,3.12,0.1,0,49314.37,0,55.07,238
0,0,31,1,0,0,60,800,15408.0,19.26,0.32,1,0.0,1,24.65,-489
0,0,22,1,0,0,100,154,12320.0,80.0,0.8,0,1619.3,1,15.24,222
0,0,25,1,0,0,25,20,1500.0,75.0,3.0,0,1153.43,1,2.94,-129
0,0,26,1,0,0,60,894,2994.9,3.35,0.06,0,4861.14,1,47.04,-907
0,0,40,0,0,0,30,1900,9747.0,5.13,0.17,0,3302.14,1,21.01,94
0,0,26,0,0,0,30,1639,10522.38,6.42,0.21,0,18495.9,0,17.36,114
0,0,22,1,0,0,20,246,7872.0,32.0,1.6,0,3133.86,1,11.04,93
0,0,15,0,0,0,120,1313,44300.62,33.74,0.28,0,3940.18,1,62.11,144
0,0,39,0,0,0,90,3436,58240.2,16.95,0.19,0,1848.37,1,93.18,-706
0,0,40,0,0,0,60,28220,64906.0,2.3,0.04,1,3426.68,0,91.0,303
0,0,16,0,0,0,180,150,2544.0,16.96,0.09,0,8762.02,1,4.07,-298
0,0,25,1,0,0,20,728,23296.0,32.0,1.6,0,2789.67,1,32.66,71
0,0,28,1,0,0,30,72091,789396.45,10.95,0.36,0,73790.43,1,1547.22,344
0,0,39,0,0,0,30,110000,1100000.0,10.0,0.33,0,8104.79,0,2156.0,120
0,0,38,1,0,0,60,400,2800.0,7.0,0.12,0,2211.05,1,4.48,-324
0,0,16,0,0,0,60,100,1550.0,15.5,0.26,0,2587.9,1,2.48,-450
0,0,12,1,0,0,30,8458,47364.8,5.6,0.19,0,6956.18,1,48.69,188
0,0,40,0,0,0,100,550,5.5,0.01,0.0,1,3426.68,1,0.01,-349
0,0,35,0,0,0,240,19026,37100.7,1.95,0.01,0,3279.29,0,61.22,233
0,0,40,1,0,0,100,1634,16.34,0.01,0.0,0,0.0,1,0.03,-223
0,0,31,1,0,0,30,11574,90508.68,7.82,0.26,0,916.22,1,195.14,123
0,0,39,1,0,0,100,2751,220080.0,80.0,0.8,0,23722.96,1,363.13,112
0,0,37,0,0,0,30,66160,258685.6,3.91,0.13,0,2175.07,0,362.68,112
0,0,38,1,0,0,60,19152,49795.2,2.6,0.04,1,3426.68,1,107.36,449
0,0,28,1,0,0,20,873,27936.0,32.0,1.6,0,6318.92,1,46.09,116
0,0,26,0,0,0,60,63,153.72,2.44,0.04,1,3426.68,0,0.3,147
0,0,24,0,0,0,60,35533,153502.56,4.32,0.07,0,7928.11,0,189.88,264
0,0,31,1,0,0,270,2,114.9,57.45,0.21,0,0.0,1,0.23,-129
0,0,32,1,0,0,100,337,29993.0,89.0,0.89,0,4978.09,1,42.05,150
0,0,37,0,0,0,60,59,661.98,11.22,0.19,0,1311.0,1,1.3,127
0,0,16,0,0,0,240,2848,5553.6,1.95,0.01,0,10794.84,1,9.16,329
0,0,38,1,0,0,60,24000,264000.0,11.0,0.18,0,10546.68,1,569.18,124
0,0,9,0,0,0,60,10000,40900.0,4.09,0.07,0,2436.32,0,42.05,289
0,0,40,0,0,0,60,1560,14820.0,9.5,0.16,0,1671.84,0,23.71,-542
0,0,31,1,0,0,240,29,228.8,7.89,0.03,0,0.0,0,0.28,414
0,0,35,0,0,0,60,50288,170979.2,3.4,0.06,1,3426.68,1,273.57,-307
0,0,39,1,0,0,100,5538,443040.0,80.0,0.8,0,25380.88,1,455.45,266
0,0,8,0,0,0,60,1296,2928.96,2.26,0.04,1,3426.68,1,3.62,261
0,0,37,0,0,0,60,3000,26280.0,8.76,0.15,1,3426.68,1,56.66,47
0,0,38,1,0,0,30,14000,49000.0,3.5,0.12,0,2859.58,1,57.67,163
0,0,37,0,0,0,120,4001,118749.68,29.68,0.25,0,17102.56,1,166.49,45
0,0,39,1,0,0,30,100000,735000.0,7.35,0.24,0,50030.37,1,1030.47,69
0,0,31,1,0,0,60,9227,37157.67,4.03,0.07,1,0.0,0,45.96,29
0,0,40,0,0,0,30,49467,232494.9,4.7,0.16,0,49580.17,0,325.96,193
0,0,39,0,0,0,60,41926,102299.44,2.44,0.04,1,3426.68,0,143.42,133
0,0,26,0,0,0,60,53671,611849.4,11.4,0.19,0,15128.37,0,1199.22,-24
0,0,7,1,0,0,60,38976,87696.0,2.25,0.04,0,35943.58,1,108.48,60
0,0,26,0,0,0,60,1300,3770.0,2.9,0.05,0,1020.98,1,6.03,-287
0,0,26,0,0,0,30,57000,263340.0,4.62,0.15,0,20138.0,0,270.71,192
0,0,26,1,0,0,100,2586,230154.0,89.0,0.89,0,28132.96,1,379.75,141
0,0,37,0,0,0,60,2277,8857.53,3.89,0.06,0,1611.43,1,9.11,89
0,0,16,1,0,0,60,2516,11573.6,4.6,0.08,0,1442.83,1,16.23,235
0,0,40,1,0,0,60,41840,248529.6,5.94,0.1,0,25189.51,0,255.49,205
0,0,35,1,0,0,25,10000,200000.0,20.0,0.8,0,22523.12,1,330.0,103
0,0,9,1,0,0,25,1400,28700.0,20.5,0.82,0,5372.87,1,35.5,359
0,0,16,0,0,0,60,16752,158306.4,9.45,0.16,0,11572.0,1,253.29,-304
0,0,9,0,0,0,240,4000,7440.0,1.86,0.01,0,8050.55,1,9.2,207
0,0,39,0,0,0,30,50000,600500.0,12.01,0.4,1,3426.68,0,960.8,-285
0,0,35,1,0,0,60,115000,414000.0,3.6,0.06,0,28270.78,0,425.59,83
0,0,37,0,0,0,60,2084,19798.0,9.5,0.16,0,1154.5,1,31.68,-503
0,0,8,0,0,0,60,10,146.3,14.63,0.24,1,3426.68,1,0.21,85
0,0,24,0,0,0,30,44840,499966.0,11.15,0.37,0,5419.21,0,618.46,318
0,0,37,0,0,0,60,10453,30313.7,2.9,0.05,0,3228.26,1,59.41,76
0,0,9,0,0,0,200,2449,3306.15,1.35,0.01,1,3426.68,0,7.13,156
0,0,31,1,0,0,60,872,14909.0,17.1,0.29,1,0.0,0,18.44,121
0,0,31,1,0,0,300,50,2099.0,41.98,0.14,0,0.0,0,4.11,65
0,0,37,0,0,0,60,69202,776446.44,11.22,0.19,0,54009.25,0,1674.02,107
0,0,31,1,0,0,30,105278,740104.34,7.03,0.23,0,6038.21,0,1595.66,176
0,0,39,0,0,0,100,600,48000.0,80.0,0.8,1,3426.68,1,47.04,-759
0,0,39,0,0,0,60,60000,432000.0,7.2,0.12,1,3426.68,0,691.2,-313
0,0,38,1,0,0,60,19760,94848.0,4.8,0.08,0,12974.12,1,204.49,132
0,0,11,0,0,0,60,11000,29260.0,2.66,0.04,0,6153.8,1,63.08,24
0,0,10,0,0,0,120,1100,39600.0,36.0,0.3,1,3426.68,1,65.34,50
0,0,33,1,0,0,100,115,10235.0,89.0,0.89,0,1614.83,1,16.89,130
0,0,38,1,0,0,60,1000,44500.0,44.5,0.74,0,7878.06,1,47.04,-972
0,0,38,1,0,0,240,837,1548.45,1.85,0.01,0,6368.02,1,1.92,113
0,0,40,0,0,0,60,19996,78984.2,3.95,0.07,0,1417.12,0,81.2,351
0,0,39,0,0,0,60,26000,187460.0,7.21,0.12,0,3949.19,0,309.31,183
0,0,26,1,0,0,100,3056,271984.0,89.0,0.89,0,13325.5,1,336.44,106
0,0,31,1,0,0,30,17,368.99,21.71,0.72,1,0.0,0,0.46,414
0,0,34,1,0,0,90,46855,637228.0,13.6,0.15,0,13491.19,0,1051.43,187
0,0,40,1,0,0,25,2000,40000.0,20.0,0.8,0,4756.06,1,78.4,49
0,0,39,1,0,0,60,10000,19900.0,1.99,0.03,0,4316.34,1,20.46,203
0,0,31,1,0,0,90,10,170.44,17.04,0.19,1,0.0,0,0.18,316
0,0,26,0,0,0,30,57749,630619.08,10.92,0.36,0,13398.06,0,1040.52,134
0,0,38,1,0,0,120,4033,245287.06,60.82,0.51,0,0.0,1,303.42,186
0,0,23,1,0,0,25,20,1900.0,95.0,3.8,0,779.06,1,2.35,110
0,0,37,0,0,0,60,4000,8600.0,2.15,0.04,0,1332.7,0,8.84,231
0,0,26,0,0,0,30,25000,300250.0,12.01,0.4,0,13353.34,1,480.4,-246
0,0,24,0,0,0,20,3480,111360.0,32.0,1.6,0,10698.63,1,178.18,-549
0,0,37,0,0,0,60,1193,6835.89,5.73,0.1,0,1413.56,1,14.74,40
0,0,35,1,0,0,100,2737,218960.0,80.0,0.8,0,23269.06,1,306.98,121
0,0,28,0,0,0,30,53705,249191.2,4.64,0.15,0,34837.8,0,308.25,368
0,0,38,1,0,0,60,809,9222.6,11.4,0.19,0,459.72,1,11.41,165
0,0,16,0,0,0,60,98,1519.0,15.5,0.26,0,991.49,1,2.43,-364
0,0,31,1,0,0,60,6,95.4,15.9,0.26,1,0.0,0,0.1,137
0,0,35,0,0,0,120,17030,574592.2,33.74,0.28,0,1698.83,0,948.08,203
0,0,8,0,0,0,120,9,303.66,33.74,0.28,1,3426.68,1,0.43,85
0,0,35,1,0,0,60,80516,652179.6,8.1,0.13,0,50445.73,1,806.75,177
0,0,31,1,0,0,30,486,10116.11,20.82,0.69,1,0.0,0,12.51,414
0,0,26,0,0,0,60,64347,142850.34,2.22,0.04,0,18461.22,1,200.28,166
0,0,26,0,0,0,60,5000,37500.0,7.5,0.12,0,0.0,0,80.85,145
0,0,37,0,0,0,60,1859,6320.6,3.4,0.06,0,891.0,1,10.11,-644
